"scenario_id","replicate_id","n","J","J_block","K1","K2","ARI_Q","RMSE_B","RMSE_eta","elapsed_min","seed","path"
2,57,1000,48,24,2,2,1,0.0675651655649225,0.230541108361574,0.811137282848358,1110057,"result/fits/scenario_02_n1000_J24_K2/replicate_057.rds"
2,58,1000,48,24,2,2,0.963958590721254,0.0732911348369468,0.214135561968994,0.794741606712341,1110058,"result/fits/scenario_02_n1000_J24_K2/replicate_058.rds"
2,59,1000,48,24,2,2,0.963958590721254,0.0644499445926248,0.235603897040374,0.796119928359985,1110059,"result/fits/scenario_02_n1000_J24_K2/replicate_059.rds"
2,60,1000,48,24,2,2,0.859156152960848,0.077857724520785,0.18913756135456,0.793881726264954,1110060,"result/fits/scenario_02_n1000_J24_K2/replicate_060.rds"
2,61,1000,48,24,2,2,0.923898142251104,0.0702529786379837,0.269276265553296,0.795481097698212,1110061,"result/fits/scenario_02_n1000_J24_K2/replicate_061.rds"
2,62,1000,48,24,2,2,0.892627525211318,0.0773078577023205,0.159731515772623,0.796902604897817,1110062,"result/fits/scenario_02_n1000_J24_K2/replicate_062.rds"
2,63,1000,48,24,2,2,0.960880560861353,0.0777667282922572,0.107554146956696,0.793788905938466,1110063,"result/fits/scenario_02_n1000_J24_K2/replicate_063.rds"
2,64,1000,48,24,2,2,1,0.0718860575026742,0.115343704992385,0.798912239074707,1110064,"result/fits/scenario_02_n1000_J24_K2/replicate_064.rds"
2,65,1000,48,24,2,2,1,0.0620957977850398,0.190463899352938,0.795584050814311,1110065,"result/fits/scenario_02_n1000_J24_K2/replicate_065.rds"
2,66,1000,48,24,2,2,1,0.0653515914118553,0.210568434184395,0.794403640429179,1110066,"result/fits/scenario_02_n1000_J24_K2/replicate_066.rds"
2,67,1000,48,24,2,2,0.960880560861353,0.0670124419481065,0.157017082017948,0.795297722021739,1110067,"result/fits/scenario_02_n1000_J24_K2/replicate_067.rds"
2,68,1000,48,24,2,2,0.892627525211318,0.0673836110481938,0.179518000421591,0.791690043608348,1110068,"result/fits/scenario_02_n1000_J24_K2/replicate_068.rds"
