"scenario_id","replicate_id","n","J","J_block","true_K1","true_K2","fit_K1","fit_K2","BIC_mod","mean_parameter_count","elapsed_min","seed","path","true_model_BIC","best_incorrect_BIC","BIC_margin_best_wrong_minus_true","best_wrong_K1","best_wrong_K2","correct"
5,52,1000,72,36,2,2,2,2,148737.630341815,275.334,0.986752406756083,6480202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_052/fit_K1_2_K2_2.rds",148737.630341815,149091.643428085,354.013086269988,2,3,TRUE
11,52,1000,72,36,3,3,3,3,150395.132763412,308.246,1.35094298124313,12480303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_052/fit_K1_3_K2_3.rds",150395.132763412,150766.356314851,371.223551439005,4,3,TRUE
17,52,1000,72,36,4,4,4,4,151239.527748185,339.618,2.04300076166789,18480404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_052/fit_K1_4_K2_4.rds",151239.527748185,151705.529704571,466.001956385997,5,4,TRUE
5,53,1000,72,36,2,2,2,2,148995.413622284,269.688,0.991352454821269,6490202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_053/fit_K1_2_K2_2.rds",148995.413622284,149398.490110594,403.076488310006,3,2,TRUE
11,53,1000,72,36,3,3,3,3,149954.295896969,304.68,1.34613964160283,12490303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_053/fit_K1_3_K2_3.rds",149954.295896969,150327.734985361,373.439088391984,4,3,TRUE
17,53,1000,72,36,4,4,4,4,151525.466453835,338.594,2.04364785353343,18490404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_053/fit_K1_4_K2_4.rds",151525.466453835,151877.800924442,352.33447060702,5,4,TRUE
5,54,1000,72,36,2,2,2,2,149026.158933486,275.436,0.993167384465535,6500202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_054/fit_K1_2_K2_2.rds",149026.158933486,149378.613250006,352.454316519987,3,2,TRUE
11,54,1000,72,36,3,3,3,3,150409.787565836,302.098,1.35248796145121,12500303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_054/fit_K1_3_K2_3.rds",150409.787565836,150956.461450126,546.67388428998,4,3,TRUE
17,54,1000,72,36,4,4,4,4,151559.499452893,346.52,2.03061368465424,18500404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_054/fit_K1_4_K2_4.rds",151559.499452893,152044.883002873,485.383549979975,5,4,TRUE
5,55,1000,72,36,2,2,2,2,149090.883374075,272.85,0.989158960183461,6510202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_055/fit_K1_2_K2_2.rds",149090.883374075,149447.349323524,356.46594944899,3,2,TRUE
11,55,1000,72,36,3,3,3,3,150405.12164945,303.62,1.35089455445608,12510303,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_055/fit_K1_3_K2_3.rds",150405.12164945,150707.319149295,302.197499845002,4,3,TRUE
17,55,1000,72,36,4,4,4,4,151164.767073558,339.852,2.02936391830444,18510404,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_055/fit_K1_4_K2_4.rds",151164.767073558,151567.950550587,403.183477029001,5,4,TRUE
5,56,1000,72,36,2,2,2,2,149174.856289341,270.636,0.989139306545258,6520202,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_056/fit_K1_2_K2_2.rds",149174.856289341,149531.909031673,357.052742332016,3,2,TRUE
