"model","dataset_id","K","bic","path"
"conventional_cdm",25,2,99838.592606255,"result/conventional_cdm/dataset_025_K_2.rds"
"conventional_cdm",25,3,98646.3380570988,"result/conventional_cdm/dataset_025_K_3.rds"
"conventional_cdm",25,4,98917.6594771493,"result/conventional_cdm/dataset_025_K_4.rds"
"conventional_cdm",25,5,98057.2522620004,"result/conventional_cdm/dataset_025_K_5.rds"
"conventional_cdm",25,6,98250.1638735599,"result/conventional_cdm/dataset_025_K_6.rds"
"conventional_cdm",26,2,99661.7125407554,"result/conventional_cdm/dataset_026_K_2.rds"
"conventional_cdm",26,3,98319.106734151,"result/conventional_cdm/dataset_026_K_3.rds"
"conventional_cdm",26,4,97102.1690557727,"result/conventional_cdm/dataset_026_K_4.rds"
"conventional_cdm",26,5,97235.2448343152,"result/conventional_cdm/dataset_026_K_5.rds"
"conventional_cdm",26,6,97416.5719712006,"result/conventional_cdm/dataset_026_K_6.rds"
"conventional_cdm",27,2,100089.206897987,"result/conventional_cdm/dataset_027_K_2.rds"
"conventional_cdm",27,3,98635.4640551374,"result/conventional_cdm/dataset_027_K_3.rds"
"conventional_cdm",27,4,97475.7579085419,"result/conventional_cdm/dataset_027_K_4.rds"
"conventional_cdm",27,5,97615.7668759628,"result/conventional_cdm/dataset_027_K_5.rds"
"conventional_cdm",27,6,98066.0720073804,"result/conventional_cdm/dataset_027_K_6.rds"
"conventional_cdm",28,2,99852.1449446607,"result/conventional_cdm/dataset_028_K_2.rds"
"conventional_cdm",28,3,98531.7450867026,"result/conventional_cdm/dataset_028_K_3.rds"
"conventional_cdm",28,4,98640.5001194809,"result/conventional_cdm/dataset_028_K_4.rds"
"conventional_cdm",28,5,97820.2738777504,"result/conventional_cdm/dataset_028_K_5.rds"
"conventional_cdm",28,6,98011.9571110705,"result/conventional_cdm/dataset_028_K_6.rds"
"conventional_cdm",29,2,99863.4913265064,"result/conventional_cdm/dataset_029_K_2.rds"
"conventional_cdm",29,3,98477.400888306,"result/conventional_cdm/dataset_029_K_3.rds"
"conventional_cdm",29,4,98680.6038788844,"result/conventional_cdm/dataset_029_K_4.rds"
"conventional_cdm",29,5,98820.2193469092,"result/conventional_cdm/dataset_029_K_5.rds"
"conventional_cdm",29,6,97891.2155246632,"result/conventional_cdm/dataset_029_K_6.rds"
"conventional_cdm",30,2,99912.2327080193,"result/conventional_cdm/dataset_030_K_2.rds"
"conventional_cdm",30,3,98638.1804237489,"result/conventional_cdm/dataset_030_K_3.rds"
"conventional_cdm",30,4,97668.1848371239,"result/conventional_cdm/dataset_030_K_4.rds"
"conventional_cdm",30,5,97868.141700848,"result/conventional_cdm/dataset_030_K_5.rds"
"conventional_cdm",30,6,98181.359337382,"result/conventional_cdm/dataset_030_K_6.rds"
"conventional_cdm",31,2,99816.1516848738,"result/conventional_cdm/dataset_031_K_2.rds"
"conventional_cdm",31,3,98575.4987531968,"result/conventional_cdm/dataset_031_K_3.rds"
"conventional_cdm",31,4,97538.7608991948,"result/conventional_cdm/dataset_031_K_4.rds"
"conventional_cdm",31,5,97775.267782701,"result/conventional_cdm/dataset_031_K_5.rds"
"conventional_cdm",31,6,97896.89388481,"result/conventional_cdm/dataset_031_K_6.rds"
"conventional_cdm",32,2,99831.5106012976,"result/conventional_cdm/dataset_032_K_2.rds"
"conventional_cdm",32,3,98520.583033266,"result/conventional_cdm/dataset_032_K_3.rds"
"conventional_cdm",32,4,97463.9776315266,"result/conventional_cdm/dataset_032_K_4.rds"
"conventional_cdm",32,5,97670.5048871694,"result/conventional_cdm/dataset_032_K_5.rds"
"conventional_cdm",32,6,98018.2189131783,"result/conventional_cdm/dataset_032_K_6.rds"
"conventional_cdm",33,2,99881.977801747,"result/conventional_cdm/dataset_033_K_2.rds"
"conventional_cdm",33,3,98557.7866559521,"result/conventional_cdm/dataset_033_K_3.rds"
"conventional_cdm",33,4,98687.6163190044,"result/conventional_cdm/dataset_033_K_4.rds"
"conventional_cdm",33,5,97804.8877937795,"result/conventional_cdm/dataset_033_K_5.rds"
