"scenario_id","replicate_id","n","J","J_block","true_K1","true_K2","fit_K1","fit_K2","bic","elapsed_min","seed","path","correct"
5,35,1000,72,36,2,2,2,2,146921.32931851,1.20615880886714,5965022,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_035/fit_K1_2_K2_2.rds",TRUE
8,35,1000,48,24,3,3,3,3,99615.2474662904,1.15813170671463,8965033,"result/bic_fits/scenario_08_n1000_J24_trueK3/replicate_035/fit_K1_3_K2_3.rds",TRUE
11,35,1000,72,36,3,3,3,3,147373.790986232,1.64833750327428,11965033,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_035/fit_K1_3_K2_3.rds",TRUE
14,35,1000,48,24,4,4,2,4,100151.929013464,1.25642071962357,14965024,"result/bic_fits/scenario_14_n1000_J24_trueK4/replicate_035/fit_K1_2_K2_4.rds",FALSE
17,35,1000,72,36,4,4,4,4,148254.169652008,2.6103268067042,17965044,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_035/fit_K1_4_K2_4.rds",TRUE
2,36,1000,48,24,2,2,2,2,98670.3065482783,0.830673142274221,2966022,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_036/fit_K1_2_K2_2.rds",TRUE
5,36,1000,72,36,2,2,2,2,147369.737964543,1.11443359057109,5966022,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_036/fit_K1_2_K2_2.rds",TRUE
8,36,1000,48,24,3,3,3,3,99564.0531476812,1.22408014933268,8966033,"result/bic_fits/scenario_08_n1000_J24_trueK3/replicate_036/fit_K1_3_K2_3.rds",TRUE
11,36,1000,72,36,3,3,3,3,147907.983935667,1.65182093779246,11966033,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_036/fit_K1_3_K2_3.rds",TRUE
14,36,1000,48,24,4,4,2,4,100291.277095934,1.28220757246017,14966024,"result/bic_fits/scenario_14_n1000_J24_trueK4/replicate_036/fit_K1_2_K2_4.rds",FALSE
17,36,1000,72,36,4,4,4,4,147980.553913255,2.6814400156339,17966044,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_036/fit_K1_4_K2_4.rds",TRUE
2,37,1000,48,24,2,2,2,2,98875.2393648845,0.811392788092295,2967022,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_037/fit_K1_2_K2_2.rds",TRUE
5,37,1000,72,36,2,2,2,2,147077.258309806,1.11800156434377,5967022,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_037/fit_K1_2_K2_2.rds",TRUE
8,37,1000,48,24,3,3,3,3,99583.3671281545,1.15121168295542,8967033,"result/bic_fits/scenario_08_n1000_J24_trueK3/replicate_037/fit_K1_3_K2_3.rds",TRUE
11,37,1000,72,36,3,3,3,3,147541.671335178,1.62491317987442,11967033,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_037/fit_K1_3_K2_3.rds",TRUE
14,37,1000,48,24,4,4,1,4,99966.527148881,1.12280775705973,14967014,"result/bic_fits/scenario_14_n1000_J24_trueK4/replicate_037/fit_K1_1_K2_4.rds",FALSE
17,37,1000,72,36,4,4,4,4,148629.557330397,2.62548526128133,17967044,"result/bic_fits/scenario_17_n1000_J36_trueK4/replicate_037/fit_K1_4_K2_4.rds",TRUE
2,38,1000,48,24,2,2,2,3,99184.5382820672,0.929026011625926,2968023,"result/bic_fits/scenario_02_n1000_J24_trueK2/replicate_038/fit_K1_2_K2_3.rds",FALSE
5,38,1000,72,36,2,2,2,2,146804.076205876,1.13908248742421,5968022,"result/bic_fits/scenario_05_n1000_J36_trueK2/replicate_038/fit_K1_2_K2_2.rds",TRUE
8,38,1000,48,24,3,3,3,3,99753.455145478,1.16094677050908,8968033,"result/bic_fits/scenario_08_n1000_J24_trueK3/replicate_038/fit_K1_3_K2_3.rds",TRUE
11,38,1000,72,36,3,3,3,3,147363.022326302,1.63544714450836,11968033,"result/bic_fits/scenario_11_n1000_J36_trueK3/replicate_038/fit_K1_3_K2_3.rds",TRUE
