"scenario_id","replicate_id","n","J","J_block","K","parameter_block","n_parameter","median_rhat","q95_rhat","max_rhat","n_nonfinite","n_over_1.01","n_over_1.05","proportion_below_1.01","proportion_below_1.05"
7,1,500,48,24,3,"Delta1",96,1.00540310021847,1.01372295346989,1.02131513011763,0,15,0,0.84375,1
7,1,500,48,24,3,"Delta2",96,1.00346476838197,1.01478433232579,1.02125492037087,0,13,0,0.864583333333333,1
7,1,500,48,24,3,"Q1",72,1,1.00389781550209,1.01195190379105,0,1,0,0.986111111111111,1
7,1,500,48,24,3,"Q2",72,1,1.00392381400294,1.01334382887864,0,2,0,0.972222222222222,1
7,50,500,48,24,3,"eta",15,1.00197380175332,1.00629844401215,1.00901594527754,0,0,0,1,1
7,50,500,48,24,3,"Delta1",96,1.00450226153466,1.01502107580876,1.03637968709272,0,12,0,0.875,1
7,50,500,48,24,3,"Delta2",96,1.00414257847457,1.01490510539832,1.02261369896667,0,17,0,0.822916666666667,1
7,50,500,48,24,3,"Q1",72,1,1.00534277490894,1.01578944037761,0,1,0,0.986111111111111,1
7,50,500,48,24,3,"Q2",72,1.00003294156907,1.00263715877083,1.00687061005623,0,0,0,1,1
7,100,500,48,24,3,"eta",15,1.0035019548545,1.00621452758681,1.00745596654151,0,0,0,1,1
7,100,500,48,24,3,"Delta1",96,1.00564625335823,1.01964093950691,1.03403924661119,0,29,0,0.697916666666667,1
7,100,500,48,24,3,"Delta2",96,1.00369732872879,1.01493268842481,1.02799451862006,0,11,0,0.885416666666667,1
7,100,500,48,24,3,"Q1",72,1,1.00793338002058,1.02267477343493,0,2,0,0.972222222222222,1
7,100,500,48,24,3,"Q2",72,1,1.00646273105825,1.01661676829589,0,1,0,0.986111111111111,1
8,1,1000,48,24,3,"eta",15,1.00459297158679,1.0106391150947,1.01067381293411,0,2,0,0.866666666666667,1
8,1,1000,48,24,3,"Delta1",96,1.00536729698089,1.01792516439665,1.03292957552004,0,29,0,0.697916666666667,1
8,1,1000,48,24,3,"Delta2",96,1.00585624134197,1.01675762934117,1.0328711608037,0,23,0,0.760416666666667,1
8,1,1000,48,24,3,"Q1",72,1.00003484610789,1.00596216475722,1.01033194808739,0,2,0,0.972222222222222,1
8,1,1000,48,24,3,"Q2",72,1,1.00673340636633,1.01896120808467,0,3,0,0.958333333333333,1
8,50,1000,48,24,3,"eta",15,1.00162257527904,1.00583840637649,1.00666345277844,0,0,0,1,1
8,50,1000,48,24,3,"Delta1",96,1.00541588219443,1.01412199887438,1.02702925455468,0,16,0,0.833333333333333,1
8,50,1000,48,24,3,"Delta2",96,1.00505235135967,1.01539170327314,1.01950702435926,0,14,0,0.854166666666667,1
8,50,1000,48,24,3,"Q1",72,1,1.00455649370045,1.00925295490413,0,0,0,1,1
8,50,1000,48,24,3,"Q2",72,1,1.00388147988104,1.01443228694742,0,1,0,0.986111111111111,1
8,100,1000,48,24,3,"eta",15,1.00264758558742,1.00595381408466,1.00701581330946,0,0,0,1,1
8,100,1000,48,24,3,"Delta1",96,1.00426686927801,1.0169335360904,1.02598129234412,0,21,0,0.78125,1
8,100,1000,48,24,3,"Delta2",96,1.00471428644703,1.01692908746877,1.03212248050685,0,22,0,0.770833333333333,1
8,100,1000,48,24,3,"Q1",72,1.0000006504681,1.00454660563477,1.00686959800815,0,0,0,1,1
8,100,1000,48,24,3,"Q2",72,1.0001561612634,1.00633659940075,1.0137771716252,0,3,0,0.958333333333333,1
9,1,2000,48,24,3,"eta",15,1.00215264881579,1.00653641313274,1.00732372725857,0,0,0,1,1
9,1,2000,48,24,3,"Delta1",96,1.0047556284783,1.02110729975939,1.03120630700741,0,18,0,0.8125,1
9,1,2000,48,24,3,"Delta2",96,1.00428538606997,1.01421669021776,1.02506309047145,0,16,0,0.833333333333333,1
9,1,2000,48,24,3,"Q1",72,1,1.00682949972733,1.009792998284,0,0,0,1,1
9,1,2000,48,24,3,"Q2",72,1,1.00707364825701,1.01737277170731,0,2,0,0.972222222222222,1
